,country_name,year,population,gdp,rural_population_percent,electricity_access_percent,project_cost,gdp_per_capita
45,Angola,2003,0.5658453278596149,0.24113261849681322,0.6692167536185961,0.25967104996187595,0.26990636704119847,0.09515494497947075
46,Angola,2004,0.5862484920652274,0.3340171964032594,0.6606158686327989,0.27002401015411204,0.03707865168539326,0.1325776715995536
47,Angola,2005,0.6075482777192438,0.4804144977047837,0.6519697158312869,0.2804353982777641,0.08984082397003745,0.1901713298254983
55,Armenia,1993,0.10596620764209802,0.01986110187657973,0.30751558910403676,0.9819116433128098,0.01610486891385768,0.034019594927598484
56,Armenia,1994,0.10342465286933593,0.021800702998792446,0.31061643448049525,0.9835243534119399,0.09391385767790261,0.040124680649920565
57,Armenia,1995,0.10159729378357372,0.02441008303905317,0.3137285968108824,0.9850450438110555,0.10852059925093632,0.04781048206903466
58,Armenia,1996,0.10045939653745152,0.02660193024781016,0.3168520760951983,0.9864433464831166,0.07659176029962546,0.054204255804353514
59,Armenia,1997,0.0994836174263249,0.02732640686527938,0.3199868723334428,0.9876890460042369,0.10861423220973783,0.056785285269599965
60,Armenia,1998,0.09862221872211355,0.031657813953726764,0.323132985525616,0.9887539107914953,0.12003745318352059,0.06883574201261133
61,Armenia,1999,0.09777769888160151,0.030835872143204227,0.3262904156717178,0.9896196284667758,0.05926966292134831,0.06738283240725332
62,Armenia,2000,0.09689033509251199,0.03196170845094475,0.3294704797256771,0.9889988998900137,0.08288389513108614,0.07116557312793403
63,Armenia,2001,0.0960436956532344,0.035486754423585114,0.3326505437796363,1.0,0.08279026217228463,0.08147161181615117
64,Armenia,2002,0.09534463327800921,0.039880059683479054,0.33380487308036166,0.9799979998000247,0.016189138576779026,0.09416014246602036
65,Armenia,2003,0.09476757251408431,0.047218376087255556,0.3341783325600082,0.9914823025271468,0.03745318352059925,0.11495336940448447
66,Armenia,2004,0.09421350004559476,0.060329339815676286,0.3345517920396547,0.991796130907054,0.10907303370786517,0.15188637628984444
67,Armenia,2005,0.09362356583622607,0.08288396996997098,0.3349252515193011,0.9979997999800024,0.06793071161048689,0.21554559305183033
68,Armenia,2006,0.0929453098165305,0.10816669711775845,0.33531002795287623,0.9926565837736276,0.09249063670411985,0.2879170543719973
69,Armenia,2007,0.09220443212154054,0.15624280755621228,0.33568348743252274,0.9933097252596498,0.11094569288389512,0.42584101136229685
70,Armenia,2008,0.09149050138438633,0.1980814510264811,0.3370415219039643,0.9941559097316112,0.020599250936329586,0.5481052202694456
71,Armenia,2009,0.09088640015091544,0.1467298943183175,0.3393954483211299,0.9951976551415008,0.25140449438202245,0.40503114158406445
72,Armenia,2010,0.09043012534605763,0.15716252476175435,0.3417606916922241,0.9979997999800024,0.12256554307116105,0.4371249260901816
73,Armenia,2011,0.09013327242188332,0.17218627932672415,0.34412593506331834,0.9976712759166587,0.1122940074906367,0.481922072537163
74,Armenia,2012,0.09000525489055725,0.18031652653137892,0.3465024953883413,0.9987886361878405,0.13037453183520598,0.5060985841378859
75,Armenia,2013,0.08998267181253297,0.188871627698302,0.3486074488190759,0.9995405119125202,0.20114232209737826,0.5309324704757477
76,Armenia,2014,0.09000224693054436,0.1971865306779943,0.35045211230945084,0.9998897442234456,0.2730992509363296,0.5548184120300468
77,Armenia,2015,0.0899928178330946,0.17919237894369372,0.35202516890553737,1.0,0.3032209737827715,0.5029248309610578
78,Armenia,2016,0.08991654344810436,0.17906966909138025,0.3533266186073357,1.0,0.08788389513108613,0.5030089757596318
