,country_name,year,population,gdp,rural_population_percent,electricity_access_percent,project_cost,gdp_per_capita
509,Ecuador,1991,0.001414568159782707,0.00021423830958592144,0.44146195193460963,0.8942504418901284,0.006544365651865766,0.0813509771412637
510,Ecuador,1992,0.0014462142390591994,0.00022821130551758207,0.4357203145129047,0.8990893352032768,0.002890381026882806,0.08500376569208107
511,Ecuador,1993,0.0014772926414280154,0.00023888316456575621,0.43001199413619995,0.9038976315846623,0.007483315261381511,0.0872499105512982
512,Ecuador,1994,0.00150810039623127,0.00028652487904180844,0.4243036737594953,0.9086447341025203,0.010851655577445525,0.10353595138378345
513,Ecuador,1996,0.0015693388607012934,0.00031834182634777014,0.4129425614144195,0.9178329698206038,0.0013377203774124925,0.11093854651807211
514,Ecuador,1997,0.0015997469382856378,0.00035544036761249643,0.4073008751277153,0.9222129854588756,0.0018665865731337104,0.12207080667981524
515,Ecuador,1998,0.0016299284272104425,0.00035316369794283025,0.4016814002043445,0.927259145914754,0.005164222852336598,0.11889646522109516
516,Ecuador,1999,0.001659869667875664,0.0002478120499414354,0.3960730309626404,0.930707410741229,0.0006111656946275679,0.0800958447305996
517,Ecuador,2000,0.001689623892546177,0.00023116243159133592,0.3904868730842698,0.9341443391166758,0.006216581736977589,0.07290588849601577
518,Ecuador,2001,0.001719298235339967,0.00030876194890933604,0.38493403225089945,0.9377128874998273,0.002425996912778934,0.09753597659323712
519,Ecuador,2002,0.001749054267898721,0.00036032960160927157,0.38139131979920915,0.9411580562354431,0.001756571091777799,0.11275405093557021
520,Ecuador,2003,0.0017790595881582631,0.00040941141457371123,0.3791923948291945,0.9497254125413664,0.002849372685503353,0.12664003783327055
521,Ecuador,2004,0.0018094224015777584,0.0004619670693996434,0.3769934698591798,0.9479203596630357,0.0021148991505899827,0.1411425471871948
522,Ecuador,2005,0.0018402907541164987,0.0005240843005036661,0.374805650570832,0.9583223322333164,0.0028281614744450154,0.1581146821885849
523,Ecuador,2006,0.001871848179910358,0.0005909977940068358,0.3726289369641508,0.9631489048905714,0.009355558157464111,0.17593650110661588
524,Ecuador,2007,0.001904038433547394,0.0006441465129622736,0.37044111767580284,0.9681229922993011,0.0006858291575529162,0.18893823546295954
525,Ecuador,2011,0.0020351300838734924,0.0010013862926501501,0.36176758029407835,0.9687238623863085,6.278518473267935e-05,0.27748679186171443
526,Ecuador,2013,0.0021000435164257193,0.0012017238737226914,0.3571809337657144,0.9803447744774916,0.05090011895247161,0.32367315337266644
527,Ecuador,2015,0.0021640383408750427,0.001254303779349061,0.3522500111056816,0.9882576557656029,0.01632980435344552,0.3279238417993116
528,Ecuador,2016,0.002196472056795201,0.001245755858727393,0.3496512815956643,0.9993680703519586,0.009714734664718628,0.32075428007853285
529,Estonia,1992,0.00020387984230321455,0.0001932966799237204,0.27319976900182125,1.0,0.0008484484423335047,0.537855759475455
530,Estonia,1994,0.00019442833649687115,0.0001932966799237204,0.27734218826351553,1.0,0.003427731707027359,0.5641023270466794
531,Estonia,1995,0.00019096254778003466,5.48215832322195e-05,0.279418950735196,1.0,0.0007466346292534841,0.15954300923925008
532,Estonia,1996,0.0001881449204770115,5.952824305163415e-05,0.28151792457021,1.0,0.0008739018956035098,0.176313262596295
533,Estonia,2000,0.00018565284697501732,7.140298479313599e-05,0.2897694460485984,1.0,0.0013999399298502827,0.21532505493267462
534,Ethiopia,1990,0.006424247902440037,0.0001534107749167946,0.9199835635911333,0.0,0.0028168488285472354,0.007768245167861666
535,Ethiopia,1992,0.006939478173121436,0.00013215279766188779,0.9144862511660966,0.00017326506245322906,0.021683514024569934,0.004978656690056447
536,Ethiopia,1993,0.007184902751532429,0.0001111462164368044,0.9116654080227444,0.0014725663658287664,0.007090200816433654,0.0029178916070135745
537,Ethiopia,1994,0.007434438601721122,8.710061708113584e-05,0.9088112478343922,0.005887128436554622,0.0030035074858606064,0.0007538002039406046
538,Ethiopia,1995,0.007684535299017471,9.640203121879298e-05,0.906590111501044,0.011088965096077198,0.008546703975772837,0.001230473460312814
539,Ethiopia,1996,0.007933379799351038,0.00010757275568293445,0.9046021944826973,0.027710459761223057,0.008707909179816203,0.0018140969311715481
540,Ethiopia,1997,0.008181605064482648,0.00010809431419636874,0.9026031717826839,0.04417898645852158,0.008343076349612797,0.0016128239445098655
541,Ethiopia,1998,0.008430739697399485,9.835119830983847e-05,0.9005708320376704,0.060463945871784906,0.02536860842577179,0.0007210004168957855
542,Ethiopia,2000,0.008942208288321936,0.0001037114870403693,0.8964506241393098,0.1269126912710786,0.013244280184826008,0.0006802320141276394
543,Ethiopia,2001,0.00920615936887972,0.0001035716426044932,0.8943738616676291,0.10803313302721042,0.005811871829984507,0.0004790585352454557
544,Ethiopia,2002,0.009477959831468196,9.87629765552229e-05,0.8922526764692817,0.12356678897760974,0.01422508658416354,0.0
545,Ethiopia,2003,0.009755408739550993,0.00010853004395429645,0.8901203855892674,0.13903760104291268,0.009642050914825392,0.0004054184883364644
546,Ethiopia,2004,0.010037402410836392,0.00012758058263066414,0.8879658833459197,0.15450620990022385,0.03371168477538459,0.0013183078960256316
547,Ethiopia,2005,0.010323423186658048,0.00015626643860943107,0.8857891697392386,0.13991399140106256,0.0004327087055900874,0.002715962569358836
548,Ethiopia,2006,0.010614340259506945,0.00019265808674251845,0.8835791390875571,0.18567935208619876,0.08388836002269316,0.0044519818089126155
549,Ethiopia,2007,0.010912632110243856,0.00024859990570602375,0.8811692061658745,0.2015051572313749,0.10540982039477739,0.0071195922479117746
550,Ethiopia,2008,0.011216986948552872,0.00034160085167711795,0.8767935675891786,0.2175561855519451,0.03417239227957168,0.011540700646480797
551,Ethiopia,2009,0.011526995656020932,0.0004094686752255068,0.8723512949224824,0.233817501014509,0.1539241023274072,0.01446109521142461
552,Ethiopia,2010,0.011846297042965423,0.0003778301789097521,0.8678090711207853,0.2502590789491217,0.025504077360397705,0.012369707868861272
553,Ethiopia,2011,0.012176017289842845,0.0004033443557568211,0.8631891075474213,0.22992299230095134,0.042911411235606774,0.013079012415078153
554,Ethiopia,2012,0.01251287226722517,0.0005468772274131693,0.8584691928390565,0.28356282817773015,0.17527474174643495,0.01917497820106506
555,Ethiopia,2013,0.012852797239717198,0.0006016909833159878,0.8536937497223579,0.3003649119810429,0.027230952756693832,0.02096607089457603
556,Ethiopia,2014,0.013197062684040592,0.0007023339168117958,0.8488294611523255,0.27192719272089944,0.11633925041277016,0.024656681700210015
557,Ethiopia,2015,0.013547350271053608,0.000814202514002612,0.8438985384922927,0.3341193173897703,0.17399980655375513,0.028621982597362424
558,Ethiopia,2016,0.013905680148468512,0.000922079179691404,0.8389009817422594,0.4289428942907055,0.06428382749798776,0.0321997616467436
559,Fiji,1990,9.961665084426426e-05,1.6446930053037502e-05,0.5980298520723202,0.6045783396097468,0.0011652025274713465,0.0903417495211931
560,Fiji,1992,0.00010111197529604927,1.890838349598721e-05,0.5808715738972058,0.6351780563806725,0.002007994646855961,0.10277138366181428
561,Fiji,2011,0.00011745334318887494,4.7250196093303315e-05,0.4802763093598685,0.9104440778552517,3.959426064223022e-05,0.2252182263610542
562,Fiji,2015,0.00011972378298428627,5.467578778518576e-05,0.46346230731642296,0.9711920349750458,0.004737170469695401,0.256209580214102
